"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=%20Felidae&cc=SOA,GT"
"Access Time","Wed 2017-02-22 13:14:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Felidae"
"","cc","SOA,GT"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0511"
"Records Found","98"
"Records Returned","98"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"153693","occ","","","13907","Felis n. sp. vorohuensis","species","100309","recombined as","Leopardus vorohuensis","species","100309","Uquian","","3","1.2","6166"
"212868","occ","","","21686","Felis pardalis","species","46525","recombined as","Leopardus pardalis","species","46525","Holocene","","0.0117","0","4785"
"212869","occ","","","21686","Felis yagouaroundi","species","46533","recombined as","Puma yagouaroundi","species","46533","Holocene","","0.0117","0","4785"
"212976","occ","","","21687","Felis concolor","species","46513","recombined as","Puma concolor","species","46513","Holocene","","0.0117","0","4787"
"212977","occ","","","21687","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4787"
"213038","occ","","","21689","Felis pardalis","species","46525","recombined as","Leopardus pardalis","species","46525","Holocene","","0.0117","0","4790"
"213039","occ","","","21689","Felis yagouaroundi","species","46533","recombined as","Puma yagouaroundi","species","46533","Holocene","","0.0117","0","4790"
"213101","occ","","","21689","Felis concolor","species","46513","recombined as","Puma concolor","species","46513","Holocene","","0.0117","0","4790"
"213102","occ","","","21689","Panthera onca","species","49735","","Panthera onca","species","46524","Holocene","","0.0117","0","4790"
"229400","occ","","","21686","Felis concolor","species","46513","recombined as","Puma concolor","species","46513","Holocene","","0.0117","0","4785"
"571716","occ","","","59978","Smilodon populator","species","51618","","Smilodon populator","species","51618","Late Pleistocene","","0.126","0.0117","17245"
"598098","occ","","","63335","Herpailurus cf. yaguaroundi","species","46887","species not entered","Herpailurus","genus","46887","Middle Pleistocene","","0.781","0.126","17632"
"600939","occ","","","63515","Smilodon populator","species","51618","","Smilodon populator","species","51618","Late Pleistocene","","0.126","0.0117","18348"
"600940","occ","","","63884","Smilodon populator","species","51618","","Smilodon populator","species","51618","Pleistocene","","2.588","0.0117","18348"
"654805","occ","","","70673","Felis concolor","species","46513","recombined as","Puma concolor","species","46513","Early Pleistocene","","2.588","0.781","19694"
"654806","occ","","","70673","Felis yaguaroundi","species","41055","species not entered","Felis","genus","41055","Early Pleistocene","","2.588","0.781","19694"
"654807","occ","","","70673","Panthera onca","species","49735","","Panthera onca","species","46524","Early Pleistocene","","2.588","0.781","19694"
"654808","occ","","","70673","Smilodon populator","species","51618","","Smilodon populator","species","51618","Early Pleistocene","","2.588","0.781","19694"
"654896","occ","","","70704","Panthera onca","species","49735","","Panthera onca","species","46524","Middle Pleistocene","","0.781","0.126","19694"
"654897","occ","","","70704","Smilodon populator","species","51618","","Smilodon populator","species","51618","Middle Pleistocene","","0.781","0.126","19694"
"661516","occ","","","71265","Felidae indet.","family","41045","","Felidae","family","41045","Late Pleistocene","","0.126","0.0117","23979"
"661562","occ","","","71274","Puma concolor","species","51265","","Puma concolor","species","46513","Lujanian","","0.781","0.012","24014"
"661563","occ","","","71274","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Lujanian","","0.781","0.012","24014"
"661661","occ","","","71287","Smilodon populator","species","51618","","Smilodon populator","species","51618","Lujanian","","0.781","0.012","24012"
"661740","occ","","","71298","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Pleistocene","","2.588","0.0117","24084"
"661757","occ","","","71301","Smilodon sp.","genus","41079","","Smilodon","genus","41079","Pleistocene","","2.588","0.0117","24084"
"661772","occ","","","71302","Felis sp.","genus","41055","","Felis","genus","41055","Pleistocene","","2.588","0.0117","24084"
"661808","occ","","","71303","Panthera platensis","species","41066","species not entered","Panthera","genus","41066","Lujanian","","0.781","0.012","24010"
"661809","occ","","","71303","Panthera onca","species","49735","","Panthera onca","species","46524","Lujanian","","0.781","0.012","24010"
"661810","occ","","","71303","Smilodon populator","species","51618","","Smilodon populator","species","51618","Lujanian","","0.781","0.012","24010"
"661850","occ","","","71304","Smilodontidion riggii","species","270462","recombined as","Smilodon riggii","species","270462","Pleistocene","","2.588","0.0117","24008"
"661890","occ","","","71312","Felidae indet.","family","41045","","Felidae","family","41045","Late Pleistocene","","0.126","0.0117","23972"
"661927","occ","","","71313","Leopardus pardalis","species","47513","","Leopardus pardalis","species","46525","Late Pleistocene","Holocene","0.126","0","24122"
"661928","occ","","","71313","Leopardus tigrina","species","41057","species not entered","Leopardus","genus","41057","Late Pleistocene","Holocene","0.126","0","24122"
"661929","occ","","","71313","Herpailurus yagouaroundi","species","46888","recombined as","Puma yagouaroundi","species","46533","Late Pleistocene","Holocene","0.126","0","24122"
"661930","occ","","","71313","Puma concolor","species","51265","","Puma concolor","species","46513","Late Pleistocene","Holocene","0.126","0","24122"
