"Species","FA","LA","X"
"Sulidae",13.789,13.789,NA
"Thalassarche",13.789,13.789,NA
"Ramphastosula aguierrei",6.2895,6.2895,NA
"Passeriformes",0.00585,0.00585,NA
"Physornis",25,25,NA
"Psilopteridae",10.6515,41.25,NA
"Cariama santacrucensis",16.9,16.9,NA
"Asio flammeus",0.06885,0.06885,NA
"Protibis",13.789,13.789,NA
"Eudocimus",0.00585,0.06885,NA
"Amplibuteo hibbardi",0.06885,0.06885,NA
"Bathoceleus hyphalus",1.29985,1.29985,NA
"Podiceps",0.00585,0.06885,NA
"Columbidae",0.00585,0.00585,NA
"Paleopsilopterus itaboraiensis",53.65,53.65,NA
"Ornimegalonyx oteroi",1.29985,1.29985,NA
"Athene",0.00585,0.00585,NA
"Circus",1.29985,1.29985,NA
"Argentavis magnificens",7.9,7.9,NA
"Pelecaniformes",9.433,9.433,NA
"Speotyto cunicularia",0.06885,1.29985,NA
"Phorusrhacinae",8.4705,8.4705,NA
"Corvus",0.00585,0.00585,NA
"Aegolius gradyi",0.06885,0.06885,NA
"Corvus wetmorei",1.29985,1.29985,NA
"Badiostes patagonicus",16.9,16.9,NA
"Mycteria",0.06885,0.06885,NA
"Phalacrocorax brasilianus",0.3965,0.3965,NA
"Falco",0.00585,1.29985,NA
"Milvago brodkorbi",0.06885,0.06885,NA
"Accipiter",0.00585,0.00585,NA
"Porzana",0.00585,0.06885,NA
"Ajaia",0.06885,0.06885,NA
"Patagornis marshi",13.789,16.9,NA
"Anhinga grandis",9.433,9.433,NA
"Syrigma sanctimartini",0.06885,0.06885,NA
"Glaucidium dickinsoni",1.29985,1.29985,NA
"Nycticorax",0.06885,1.29985,NA
"Andrewsornis",25,25,NA
"Diomedea",6.2895,6.2895,NA
"Porphyrula",0.00585,0.4535,NA
"Ardea",0.06885,0.06885,NA
"Hoazinoides magdalenae",8.4705,8.4705,NA
"Eudocimus peruvianus",0.06885,0.06885,NA
"Spizella",0.00585,0.00585,NA
