"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","environment","tectonic_setting","geology_comments"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396","Chordata","Aves","Strigiformes","Strigidae","Ornimegalonyx","","","-83.666664","22.583332","CU","Sierra de Sumidero","Pinar del Río","based on political unit","minutes","","","gp_mid","-83.33","22.76","206","","","","","","","","","","","","","terrestrial indet.","",""
"150155","occ","","","13309","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052","Chordata","Aves","Gaviiformes","","Neogaeornis","1","specimens","-73.116669","-36.716667","CL","Concepcíon","","based on nearby landmark","minutes","small collection","""in the west end of San Vicente Bay, southwest of Talcahuano"" (Chiappe 1991) or ""Cliff at west end of Bahía San Vicente, on the southern point of Península Tumbes"" (Olson 1992)","gp_mid","-59.18","-36.05","291","Quiriquina","Arauco","","group of beds","","","","","","","","","transition zone/lower shoreface","","""thick intertidal to offshore marine unit"""
"384559","occ","","","36611","Zonotrichia","genus","129849","Ensenadan","","1.2","0.781","9817","Chordata","Aves","Passeriformes","Emberizidae","Zonotrichia","1","individuals","-57.849998","-38.266666","AR","Buenos Aires","","based on political unit","seconds","small collection","900 m SW of Punta Hermengo, Miramar, Buenos Aires, Argentina","gp_mid","-57.69","-38.23","202","Miramar","","","group of beds","","","","","","","","","loess","",""
"496778","occ","","","14211","Physornis","genus","39468","Deseadan","","29","21","13480","Chordata","Aves","Gruiformes","Brontornithidae","Physornis","1","specimens","-67.505554","-45.234444","AR","Chubut","","stated in text","seconds","outcrop","""This locality is a large peanut-shaped hill, about 5 km. southwest of the Estancia Venter, east of the Rio Chico del Chubut, Chubut Province, Argentina""","gp_mid","-62.96","-44.94","291","Sarmiento","","","","","","","","","","","According to the most recent geochronological calibrations at Gran Barranca, Deseadan mammal assemblages could be as old as 29.2 Ma and as young as 26.3 Ma (Ré et al. 2010: 59243), a timespan corresponding to the late Oligocene.","terrestrial indet.","",""
"536861","occ","","","55600","Megapaloelodus","genus","39591","Huayquerian","","9","6.8","15016","Chordata","Aves","Phoenicopteriformes","Palaelodidae","Megapaloelodus","","","-59.250000","-33.716667","AR","Entre Rios","","estimated from map","minutes","local area","","gp_mid","-57.52","-33.51","202","Ituzaingo","","","","Huayquerian","","","","","","","","marine indet.","",""
"536862","occ","","","55600","Phoenicopteridae","family","39589","Huayquerian","","9","6.8","15016","Chordata","Aves","Ciconiiformes","Phoenicopteridae","","","","-59.250000","-33.716667","AR","Entre Rios","","estimated from map","minutes","local area","","gp_mid","-57.52","-33.51","202","Ituzaingo","","","","Huayquerian","","","","","","","","marine indet.","",""
"536866","occ","","","55600","Rallidae","family","39513","Huayquerian","","9","6.8","15016","Chordata","Aves","Ralliformes","Rallidae","","","","-59.250000","-33.716667","AR","Entre Rios","","estimated from map","minutes","local area","","gp_mid","-57.52","-33.51","202","Ituzaingo","","","","Huayquerian","","","","","","","","marine indet.","",""
"536867","occ","","","55600","Phorusrhacidae","family","39461","Huayquerian","","9","6.8","15016","Chordata","Aves","Gruiformes","Phorusrhacidae","","","","-59.250000","-33.716667","AR","Entre Rios","","estimated from map","minutes","local area","","gp_mid","-57.52","-33.51","202","Ituzaingo","","","","Huayquerian","","","","","","","","marine indet.","",""
"536868","occ","","","55600","Devincenzia","genus","39465","Huayquerian","","9","6.8","15016","Chordata","Aves","Gruiformes","Phorusrhacidae","Devincenzia","","","-59.250000","-33.716667","AR","Entre Rios","","estimated from map","minutes","local area","","gp_mid","-57.52","-33.51","202","Ituzaingo","","","","Huayquerian","","","","","","","","marine indet.","",""
"536869","occ","","","55600","Andalgalornis","genus","39463","Huayquerian","","9","6.8","15016","Chordata","Aves","Gruiformes","Phorusrhacidae","Andalgalornis","","","-59.250000","-33.716667","AR","Entre Rios","","estimated from map","minutes","local area","","gp_mid","-57.52","-33.51","202","Ituzaingo","","","","Huayquerian","","","","","","","","marine indet.","",""
