"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396"
"150155","occ","","","13309","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052"
"384559","occ","","","36611","Zonotrichia","genus","129849","Ensenadan","","1.2","0.781","9817"
"465465","occ","","","45458","Puffinus tedfordi","species","206576","Messinian","","7.246","5.333","12282"
"465466","occ","","","45458","Puffinus","genus","39702","Messinian","","7.246","5.333","12282"
"465467","occ","","","45458","Morus","genus","39679","Messinian","","7.246","5.333","12282"
"465468","occ","","","45458","Megapaloelodus opsigonus","species","229906","Messinian","","7.246","5.333","12282"
"496778","occ","","","14211","Physornis","genus","39468","Deseadan","","29","21","13480"
"536861","occ","","","55600","Megapaloelodus","genus","39591","Huayquerian","","9","6.8","15016"
"536862","occ","","","55600","Phoenicopteridae","family","39589","Huayquerian","","9","6.8","15016"
"536866","occ","","","55600","Rallidae","family","39513","Huayquerian","","9","6.8","15016"
"536867","occ","","","55600","Phorusrhacidae","family","39461","Huayquerian","","9","6.8","15016"
"536868","occ","","","55600","Devincenzia","genus","39465","Huayquerian","","9","6.8","15016"
"536869","occ","","","55600","Andalgalornis","genus","39463","Huayquerian","","9","6.8","15016"
"545038","occ","","","13079","Sula","genus","36639","Messinian","","7.246","5.333","15398"
"545039","occ","","","13079","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","15398"
"545041","occ","","","13079","Procellariidae","family","39695","Messinian","","7.246","5.333","15398"
"565286","occ","","","45487","Sula","genus","36639","Serravallian","","13.82","11.62","16797"
"565300","occ","","","45486","Sula","genus","36639","Tortonian","","11.62","7.246","16797"
"565301","occ","","","45486","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797"
"565313","occ","","","45485","Sula","genus","36639","Tortonian","","11.62","7.246","16797"
"565314","occ","","","45485","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797"
"565326","occ","","","46084","Sula","genus","36639","Messinian","","7.246","5.333","16797"
"565327","occ","","","46084","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797"
"565350","occ","","","46083","Sula","genus","36639","Messinian","","7.246","5.333","16797"
"565351","occ","","","46083","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797"
"565352","occ","","","46083","Procellariidae","family","39695","Messinian","","7.246","5.333","16797"
"571567","occ","","","59940","Phorusrhacidae","family","39461","Late Oligocene","Early Miocene","28.4","15.97","17215"
