Species	Status	min_age	max_age
Ornimegalonyx_oteroi	extinct	0.0117	2.588
Neogaeornis_wetzeli	extinct	66	70.6
Zonotrichia	extinct	0.781	1.2
Puffinus_tedfordi	extinct	5.333	7.246
Puffinus	extinct	5.333	7.246
Morus	extinct	5.333	7.246
Megapaloelodus_opsigonus	extinct	5.333	7.246
Physornis	extinct	21	29
Megapaloelodus	extinct	6.8	9
Phoenicopteridae	extinct	6.8	9
Rallidae	extinct	6.8	9
Phorusrhacidae	extinct	6.8	9
Devincenzia	extinct	6.8	9
Andalgalornis	extinct	6.8	9
Sula	extinct	5.333	7.246
Phalacrocorax	extant	5.333	7.246
Procellariidae	extinct	5.333	7.246
Sula	extinct	11.62	13.82
Sula	extinct	7.246	11.62
Phalacrocorax	extant	7.246	11.62
Sula	extinct	7.246	11.62
Phalacrocorax	extant	7.246	11.62
Sula	extinct	5.333	7.246
Phalacrocorax	extant	5.333	7.246
Sula	extinct	5.333	7.246
Phalacrocorax	extant	5.333	7.246
Procellariidae	extinct	5.333	7.246
Phorusrhacidae	extinct	15.97	28.4
Diomedeidae	extinct	9	10
Porphyrula	extinct	0.126	0.781
Motacillinae	extinct	0.126	0.781
Ramphastosula_ramirezi	extinct	5.333	7.246
Fulmarus	extinct	5.333	7.246
Sula	extinct	5.333	7.246
Colymbus_nigricollis	extinct	0.012	0.3
Pelecanus	extinct	0.012	0.3
Phalacrocorax_auritus	extinct	0.012	0.3
Ardea_herodias	extinct	0.012	0.3
Ardea	extinct	0.012	0.3
Plegadis	extinct	0.012	0.3
Ciconiidae	extinct	0.012	0.3
Circus	extinct	0.012	0.3
Aquila_chrysaetos	extinct	0.012	0.3
Accipitridae	extinct	0.012	0.3
Caracara	extinct	0.012	0.3
Porzana	extinct	0.012	0.3
Fulica_americana	extinct	0.012	0.3
Porphyrio	extinct	0.012	0.3
Strix	extinct	0.012	0.3
Passeriformes	extant	0.012	0.3
Anhinga	extinct	7.246	11.62
Anhinga	extinct	7.246	11.62
Anhinga_grandis	extinct	7.246	11.62
Phalacrocorax_bougainvillii	extinct	2.588	3.6
Phalacrocorax	extant	2.588	3.6
Sula	extinct	5.333	7.246
Phalacrocorax	extant	5.333	7.246
Diomedea	extinct	5.333	7.246
Buteo	extinct	1.8	4.9
Podiceps	extinct	0	0.0117
Podiceps	extinct	0	0.0117
Rallidae	extinct	0	0.0117
Columbidae	extinct	0	0.0117
Falconidae	extinct	0	0.0117
Coccyzus	extinct	0	0.0117
Passeriformes	extant	0	0.0117
Falco	extinct	0	0.0117
Cruschedula_revola	extinct	23.03	33.9
Cladornis_pachypus	extinct	23.03	33.9
Kelenken_guillermoi	extinct	13.8	15.5
Psilopterus_colzecus	extinct	5.333	11.608
Puffinus_lherminieri	extant	0	0.0117
Pterodroma_cahow	extinct	0	0.0117
Phaethon_lepturus	extinct	0	0.0117
Leptoptilos_patagonicus	extinct	5.333	11.608
Taubatornis_campbelli	extinct	15.97	28.4
Hoazinoides_magdalenae	extinct	5.333	11.608
Argentavis_magnificens	extinct	6.8	9
Argentavis_magnificens	extinct	6.8	9
Argentavis_magnificens	extinct	6.8	9
Phalacrocorax_brasilianus	extinct	0.012	0.781
Patagornis_marshi	extinct	11.608	15.97
Palaeociconia_australis	extinct	4	6.8
Brontornis_burmeisteri	extinct	11.608	15.97
Brontornis_burmeisteri	extinct	11.608	15.97
Brontornis_burmeisteri	extinct	15.97	23.03
Phorusrhacos_longissimus	extinct	11.608	15.97
Phorusrhacos_longissimus	extinct	11.608	15.97
Phorusrhacos_longissimus	extinct	15.97	23.03
Phorusrhacos_longissimus	extinct	15.97	23.03
Phorusrhacos_longissimus	extinct	11.608	15.97
Mesembriornis_milneedwardsi	extinct	4	6.8
Patagornis_marshi	extinct	11.608	15.97
Psilopterus_lemoinei	extinct	15.97	23.03
Psilopterus_bachmanni	extinct	11.608	15.97
Dryornis_pampeanus	extinct	4	6.8
Phorusrhacos_longissimus	extinct	11.608	15.97
Phorusrhacos_longissimus	extinct	11.608	15.97
Phorusrhacos_longissimus	extinct	11.608	15.97
Phorusrhacos_longissimus	extinct	11.608	15.97
Phorusrhacos_longissimus	extinct	11.608	15.97
Lagopterus_minutus	extinct	0.012	0.781
Foetopterus_ambiguus	extinct	4	6.8
Psilopterus_bachmanni	extinct	11.608	15.97
Psilopterus_lemoinei	extinct	11.608	15.97
Psilopterus_bachmanni	extinct	11.608	15.97
Falconidae	extinct	15.97	23.03
Psilopteridae	extinct	15.97	23.03
Puffinus_lherminieri	extant	0	0.0117
Pterodroma_cahow	extinct	0	0.0117
Tyto	extant	0.0117	0.126
Phoenicopterus_stocki	extinct	4.9	10.3
Zenaida	extant	0	0.0117
Columbina	extinct	0	0.0117
Puffinus	extinct	0	0.0117
Porzana	extinct	0	0.0117
Athene	extant	0	0.0117
Puffinus	extinct	0	0.0117
Porphyrula	extinct	0	0.0117
Sulidae	extinct	11.608	15.97
Puffinus	extinct	2.588	3.6
