Species	Status
Accipiter	extant
Accipitridae	extinct
Aechmophorus_occidentalis	extinct
Aegolius_gradyi	extinct
Agelaius_phoeniceus	extinct
Ajaia	extinct
Amplibuteo_hibbardi	extinct
Andalgalornis	extinct
Andrewsornis	extinct
Anhinga	extinct
Anhinga_anhinga	extinct
Anhinga_grandis	extinct
Anisolornis	extinct
Aquila_chrysaetos	extinct
Ardea	extinct
Ardea_herodias	extinct
Ardeidae	extinct
Argentavis_magnificens	extinct
Asio_flammeus	extinct
Athene	extant
Badiostes_patagonicus	extinct
Bathoceleus_hyphalus	extinct
Brontornis_burmeisteri	extinct
Bubo_virginianus	extinct
Buteo	extinct
Buteo_jamaicensis	extant
Buteo_lineatus	extinct
Caprimulgus_piurensis	extinct
Caracara	extinct
Caracara_creightoni	extinct
Caracara_plancus	extinct
Cariama_santacrucensis	extinct
Cariaminae	extinct
Chunga	extinct
Ciconiidae	extinct
Circus	extinct
Cladornis_pachypus	extinct
Coccyzus	extinct
Colaptes	extant
Columba	extant
Columbidae	extinct
Columbina	extinct
Colymbus_nigricollis	extinct
Contopus	extant
Corvus	extinct
Corvus_wetmorei	extinct
Cruschedula_revola	extinct
Devincenzia	extinct
Devincenzia_gallinali	extinct
Diomedea	extinct
Diomedeidae	extinct
Dryornis_pampeanus	extinct
Egretta	extinct
Eudocimus	extant
Eudocimus_peruvianus	extinct
Euphagus	extinct
Eutreptodactylus_itaboraiensis	extinct
Falco	extinct
Falco_sparverius	extant
Falconidae	extinct
Foetopterus_ambiguus	extinct
Fulica_americana	extinct
Fulica_podagrica	extant
Fulmarus	extinct
Fulmarus_glacialis	extant
Geranoaetus	extinct
Glaucidium_dickinsoni	extinct
Hoazinoides_magdalenae	extinct
Icterus	extinct
Itaboravis_elaphrocnemoides	extinct
Jabiru_mycteria	extinct
Kelenken_guillermoi	extinct
Lagopterus_minutus	extinct
Leptoptilos_patagonicus	extinct
Liptornis_hesternus	extinct
Megapaloelodus	extinct
Megapaloelodus_opsigonus	extinct
Melanerpes	extinct
Mesembriornis_milneedwardsi	extinct
Milvago	extinct
Milvago_brodkorbi	extinct
Miraquila_terrestris	extinct
Molothrus	extinct
Molothrus_ater	extinct
Morus	extinct
Morus_peruvianus	extinct
Motacillinae	extinct
Mycteria	extinct
Neogaeornis_wetzeli	extinct
Nyctanassa_violacea	extant
Nycticorax	extinct
Opisthodactylus_patagonicus	extinct
Ornimegalonyx_oteroi	extinct
Otus_providentiae	extinct
Palaeociconia_australis	extinct
Paleopsilopterus_itaboraiensis	extinct
Pandanaris_convexa	extinct
Pandion	extant
Passeriformes	extant
Patagornis_marshi	extinct
Pelecaniformes	extinct
Pelecanus	extinct
Petrochelidon	extant
Phaethon_lepturus	extinct
Phalacrocorax	extant
Phalacrocorax_auritus	extinct
Phalacrocorax_bougainvillii	extinct
Phalacrocorax_brasilianus	extinct
Phalacrocorax_chapalensis	extinct
Phalacrocorax_goletensis	extinct
Phoenicopteridae	extinct
Phoenicopterus_copei	extinct
Phoenicopterus_stocki	extinct
Phorusrhacidae	extinct
Phorusrhacinae	extinct
Phorusrhacos_longissimus	extinct
Physornis	extinct
Plegadis	extinct
Podiceps	extinct
Podiceps_caspicus	extinct
Podilymbus_podiceps	extinct
Porphyrio	extinct
Porphyrula	extinct
Porzana	extinct
Procellariidae	extinct
Protibis	extinct
Psilopteridae	extinct
Psilopterus_bachmanni	extinct
Psilopterus_colzecus	extinct
Psilopterus_lemoinei	extinct
Psittacidae	extinct
Pterodroma_cahow	extinct
Puffinus	extinct
Puffinus_lherminieri	extant
Puffinus_tedfordi	extinct
Quiscalus_mexicanus	extinct
Rallidae	extinct
Rallus	extant
Rallus_longirostris	extinct
Rallus_recessus	extinct
Ramphastosula_aguierrei	extinct
Ramphastosula_ramirezi	extinct
Speotyto_cunicularia	extinct
Spizella	extant
Strix	extinct
Sturnella	extant
Sula	extinct
Sula_brandi	extinct
Sula_figueroae	extinct
Sula_magna	extinct
Sula_sulita	extinct
Sulidae	extinct
Syrigma_sanctimartini	extinct
Taubatornis_campbelli	extinct
Thalassarche	extinct
Thegornis_debilis	extinct
Theristicus_wetmorei	extinct
Tigrisoma	extinct
Tyto	extant
Tyto_alba	extinct
Xanthocephalus_xanthocephalus	extinct
Zenaida	extant
Zonotrichia	extinct
