"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"150155","occ","","","13309","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052"
"150157","occ","","","13306","Yacoraitichnus avis","species","58867","Maastrichtian","","72.1","66","6049"
"384559","occ","","","36611","Zonotrichia","genus","129849","Ensenadan","","1.2","0.781","9817"
"404183","occ","","","38793","Diogenornis fragilis","species","246685","Late Paleocene","Early Eocene","58.7","48.6","10425"
"411904","occ","","","39295","Telmabates antiquus","species","57764","Middle Eocene","","48.6","37.2","10799"
"460646","occ","11840","","45418","Presbyornithidae","family","39621","Eocene","","56","33.9","11768"
"496778","occ","","","14211","Physornis","genus","39468","Deseadan","","29","21","13480"
"536861","occ","","","55600","Megapaloelodus","genus","39591","Huayquerian","","9","6.8","15016"
"536862","occ","","","55600","Phoenicopteridae","family","39589","Huayquerian","","9","6.8","15016"
"536865","occ","","","55600","Rheidae","family","39283","Huayquerian","","9","6.8","15016"
"536866","occ","","","55600","Rallidae","family","39513","Huayquerian","","9","6.8","15016"
"536867","occ","","","55600","Phorusrhacidae","family","39461","Huayquerian","","9","6.8","15016"
"536868","occ","","","55600","Devincenzia","genus","39465","Huayquerian","","9","6.8","15016"
"536869","occ","","","55600","Andalgalornis","genus","39463","Huayquerian","","9","6.8","15016"
"541123","occ","","","45886","Anseriformes","order","39620","Burdigalian","","20.44","15.97","15235"
"545038","occ","","","13079","Sula","genus","36639","Messinian","","7.246","5.333","15398"
"545039","occ","","","13079","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","15398"
"545040","occ","","","13079","Pelagornithidae","family","39658","Messinian","","7.246","5.333","15398"
"545041","occ","","","13079","Procellariidae","family","39695","Messinian","","7.246","5.333","15398"
"565286","occ","","","45487","Sula","genus","36639","Serravallian","","13.82","11.62","16797"
"565300","occ","","","45486","Sula","genus","36639","Tortonian","","11.62","7.246","16797"
"565301","occ","","","45486","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797"
"565302","occ","","","45486","Pelagornithidae","family","39658","Tortonian","","11.62","7.246","16797"
"565313","occ","","","45485","Sula","genus","36639","Tortonian","","11.62","7.246","16797"
"565314","occ","","","45485","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","16797"
"565326","occ","","","46084","Sula","genus","36639","Messinian","","7.246","5.333","16797"
"565327","occ","","","46084","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797"
"565350","occ","","","46083","Sula","genus","36639","Messinian","","7.246","5.333","16797"
"565351","occ","","","46083","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","16797"
"565352","occ","","","46083","Procellariidae","family","39695","Messinian","","7.246","5.333","16797"
"571567","occ","","","59940","Phorusrhacidae","family","39461","Late Oligocene","Early Miocene","28.4","15.97","17215"
"576195","occ","","","60620","Diomedeidae","family","39692","Chasicoan","","10","9","7495"
"597475","occ","","","63342","Rhea americana","species","83730","Holocene","","0.0117","0","17632"
"597476","occ","","","63342","Anas","genus","67686","Holocene","","0.0117","0","17632"
"597487","occ","","","63337","Rheidae","family","39283","Lujanian","","0.781","0.012","17632"
"597500","occ","","","63338","Rhea","genus","83729","Holocene","","0.0117","0","17632"
"597501","occ","","","63338","Nothura","genus","39271","Holocene","","0.0117","0","17632"
"597502","occ","","","63338","Tinamidae","family","39268","Holocene","","0.0117","0","17632"
"597503","occ","","","63338","Anas","genus","67686","Holocene","","0.0117","0","17632"
"597504","occ","","","63338","Dendrocygna","genus","83736","Holocene","","0.0117","0","17632"
"597505","occ","","","63338","Anatidae","family","39624","Holocene","","0.0117","0","17632"
"598059","occ","","","63335","Rhea","genus","83729","Middle Pleistocene","","0.781","0.126","17632"
"598060","occ","","","63335","Chloephaga","genus","83784","Middle Pleistocene","","0.781","0.126","17632"
"598061","occ","","","63335","Chloephaga","genus","83784","Middle Pleistocene","","0.781","0.126","17632"
"598062","occ","","","63335","Porphyrula","genus","83793","Middle Pleistocene","","0.781","0.126","17632"
"598063","occ","","","63335","Motacillinae","subfamily","83785","Middle Pleistocene","","0.781","0.126","17632"
"617915","occ","","","13079","Ramphastosula ramirezi","species","87503","Messinian","","7.246","5.333","18990"
"617928","occ","","","13079","Fulmarus","genus","39698","Messinian","","7.246","5.333","40374"
"617929","occ","","","13079","Pelagornis","genus","39666","Messinian","","7.246","5.333","18990"
"617931","occ","","","13079","Sula","genus","36639","Messinian","","7.246","5.333","18990"
"624995","occ","","","55602","Anhinga","genus","39686","Tortonian","","11.62","7.246","19222"
"624996","occ","","","55602","Anhinga","genus","39686","Tortonian","","11.62","7.246","19222"
"624997","occ","","","55602","Anhinga grandis","species","53340","Tortonian","","11.62","7.246","19222"
"627140","occ","","","67634","Phalacrocorax bougainvillii","species","90130","Piacenzian","","3.6","2.588","19301"
"627141","occ","","","67634","Phalacrocorax","genus","39689","Piacenzian","","3.6","2.588","19301"
"639049","occ","","","55535","Sula","genus","36639","Messinian","","7.246","5.333","19852"
"639050","occ","","","55535","Phalacrocorax","genus","39689","Messinian","","7.246","5.333","19852"
"639051","occ","","","55535","Pelagornithidae","family","39658","Messinian","","7.246","5.333","19852"
"639052","occ","","","55535","Diomedea","genus","39693","Messinian","","7.246","5.333","19852"
"654914","occ","","","70705","Rhea americana","species","83730","Holocene","","0.0117","0","19694"
"654915","occ","","","70705","Podiceps","genus","39553","Holocene","","0.0117","0","19694"
"654916","occ","","","70705","Podiceps","genus","39553","Holocene","","0.0117","0","19694"
"654919","occ","","","70705","Dendrocygna","genus","83736","Holocene","","0.0117","0","19694"
"654920","occ","","","70705","Anas","genus","67686","Holocene","","0.0117","0","19694"
"654921","occ","","","70705","Rallidae","family","39513","Holocene","","0.0117","0","19694"
"654925","occ","","","70705","Columbidae","family","39353","Holocene","","0.0117","0","19694"
"654926","occ","","","70705","Falconidae","family","39317","Holocene","","0.0117","0","19694"
"654927","occ","","","70705","Coccyzus","genus","289513","Holocene","","0.0117","0","19694"
"654929","occ","","","70705","Passeriformes","order","39441","Holocene","","0.0117","0","19694"
"662052","occ","","","71328","Falco","genus","39319","Holocene","","0.0117","0","24000"
"662167","occ","","","71338","Rhea","genus","83729","Late Pleistocene","","0.126","0.0117","24013"
"662168","occ","","","71338","Eudromia","genus","39269","Late Pleistocene","","0.126","0.0117","24013"
"685633","occ","","","73843","Rhea americana","species","83730","Holocene","","0.0117","0","24752"
"685647","occ","","","73845","Rhea americana","species","83730","Late Pleistocene","","0.126","0.0117","24073"
"692512","occ","","","39295","Telmabates howardae","species","105757","Middle Eocene","","48.6","37.2","25108"
"692529","occ","","","74644","Cruschedula revola","species","105823","Oligocene","","33.9","23.03","25128"
"692530","occ","","","74644","Cladornis pachypus","species","53633","Oligocene","","33.9","23.03","25128"
"692551","occ","","","74646","Kelenken guillermoi","species","105906","Colloncuran","","15.5","13.8","25131"
"754353","occ","","","79180","Psilopterus colzecus","species","181128","Late Miocene","","11.608","5.333","27152"
"788011","occ","","","85116","Leptoptilos patagonicus","species","136811","Late Miocene","","11.608","5.333","28618"
"788528","occ","","","85172","Taubatornis campbelli","species","137168","Late Oligocene","Early Miocene","28.4","15.97","28662"
"788625","occ","","","85201","Hoazinoides magdalenae","species","137212","Late Miocene","","11.608","5.333","28674"
"796342","occ","","","32370","Limenavis patagonica","species","134885","Late Campanian","Early Maastrichtian","83.5","66","28366"
"801752","occ","","","87198","Eudromia","genus","39269","Huayquerian","","9","6.8","29353"
"801753","occ","","","87198","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"801802","occ","","","87200","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"801803","occ","","","87201","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"810646","occ","","","71303","Phalacrocorax brasilianus","species","53349","Lujanian","","0.781","0.012","29788"
"810647","occ","","","27313","Patagornis marshi","species","53566","Middle Miocene","","15.97","11.608","29788"
"810648","occ","","","13503","Palaeociconia australis","species","146055","Montehermosan","","6.8","4","29788"
"810649","occ","","","88834","Brontornis burmeisteri","species","53587","Middle Miocene","","15.97","11.608","29788"
"810650","occ","","","27313","Brontornis burmeisteri","species","53587","Middle Miocene","","15.97","11.608","29788"
"810651","occ","","","66154","Brontornis burmeisteri","species","53587","Early Miocene","","23.03","15.97","29788"
"810652","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810653","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810654","occ","","","66154","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","29788"
"810655","occ","","","66154","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","29788"
"810656","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810657","occ","","","13503","Mesembriornis milneedwardsi","species","146059","Montehermosan","","6.8","4","29788"
"810658","occ","","","27313","Patagornis marshi","species","53566","Middle Miocene","","15.97","11.608","29788"
"810659","occ","","","66154","Psilopterus lemoinei","species","146060","Early Miocene","","23.03","15.97","29788"
"810660","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810661","occ","","","13503","Dryornis pampeanus","species","146063","Montehermosan","","6.8","4","29788"
"810662","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810663","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810664","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810665","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810666","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810667","occ","","","71303","Lagopterus minutus","species","146066","Lujanian","","0.781","0.012","29788"
"810668","occ","","","13503","Foetopterus ambiguus","species","146068","Montehermosan","","6.8","4","29788"
"810670","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810671","occ","","","27313","Psilopterus lemoinei","species","146060","Middle Miocene","","15.97","11.608","29788"
"810672","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810674","occ","","","13503","Protorhea azarae","species","146076","Montehermosan","","6.8","4","29788"
"810675","occ","","","88835","Rhea subpampeana","species","146077","Miocene","","23.03","5.333","29788"
"810676","occ","","","88836","Rhea pampeana","species","146078","Late Pleistocene","","0.126","0.0117","29788"
"810677","occ","","","88837","Rhea fossilis","species","146079","Neogene","","23.03","2.588","29788"
"811462","occ","","","89030","Falconidae","family","39317","Early Miocene","","23.03","15.97","29860"
"811688","occ","","","89093","Psilopteridae","family","134480","Early Miocene","","23.03","15.97","29898"
"841336","occ","","","93267","Rheidae","family","39283","Holocene","","0.0117","0","31534"
"858933","occ","","","95373","Sulidae","family","39676","Middle Miocene","","15.97","11.608","32455"
"880311","occ","","","97648","Puffinus","genus","39702","Late Pliocene","","3.6","2.588","33341"
"896295","occ","","","99451","Pelagornis chilensis","species","171615","Tortonian","Messinian","11.62","5.333","33974"
"897341","occ","","","99479","Ardeidae","family","39541","Middle Eocene","Late Eocene","48.6","33.9","34241"
"899302","occ","","","100172","Pelagornis","genus","39666","Middle Miocene","","15.97","11.608","34370"
"899303","occ","","","100171","Pelagornis","genus","39666","Middle Miocene","","15.97","11.608","34370"
"899304","occ","","","46083","Pelagornis","genus","39666","Messinian","","7.246","5.333","34370"
"899305","occ","","","45485","Pelagornis","genus","39666","Tortonian","","11.62","7.246","34370"
"899306","occ","","","100171","Pelagornis","genus","39666","Middle Miocene","","15.97","11.608","34370"
"899307","occ","","","46084","Pelagornithidae","family","39658","Messinian","","7.246","5.333","34370"
